mass_A
t;x;y
1.933681111E1;4.627682710E-1;3.283909460E-1
1.934096667E1;4.660524203E-1;3.283012729E-1
1.934512222E1;4.694351438E-1;3.282952571E-1
1.934926667E1;4.724802741E-1;3.280313175E-1
1.935342222E1;4.757477149E-1;3.280280259E-1
1.935757778E1;4.790337504E-1;3.280644083E-1
1.936173333E1;4.820629250E-1;3.280638661E-1
1.936587778E1;4.854405027E-1;3.280269378E-1
1.937004444E1;4.886688734E-1;3.279854874E-1
1.937418889E1;4.919342893E-1;3.280847318E-1
1.937834444E1;4.950602108E-1;3.281931504E-1
1.938250000E1;4.982164679E-1;3.283029281E-1
1.938664444E1;5.015477438E-1;3.282538955E-1
1.939080000E1;5.047033239E-1;3.280856205E-1
1.939496667E1;5.079601384E-1;3.279136287E-1
1.939911111E1;5.111700042E-1;3.279134536E-1
1.940330000E1;5.142131422E-1;3.279504338E-1
1.940741111E1;5.174082099E-1;3.279853012E-1
1.941156667E1;5.206342348E-1;3.279822580E-1
1.941571111E1;5.239640495E-1;3.279140087E-1
1.941986667E1;5.271356089E-1;3.277699624E-1
1.942403333E1;5.303859105E-1;3.276368547E-1
1.942817778E1;5.333997092E-1;3.275841489E-1
1.943233333E1;5.365068583E-1;3.275882704E-1
1.943648889E1;5.398562622E-1;3.276071397E-1
1.944063333E1;5.428841528E-1;3.275461510E-1
1.944480000E1;5.461486670E-1;3.274846849E-1
1.944894444E1;5.493135888E-1;3.274568752E-1
1.945726667E1;5.556070279E-1;3.273262477E-1
1.946140000E1;5.587446474E-1;3.272510157E-1
1.946555556E1;5.619860809E-1;3.272423974E-1
1.946970000E1;5.651090061E-1;3.272385484E-1
1.947385556E1;5.683619616E-1;3.273074782E-1
1.947802222E1;5.713663320E-1;3.273238808E-1
1.948220000E1;5.740902663E-1;3.272760679E-1
1.948631111E1;5.723270277E-1;3.274016436E-1
1.949047778E1;5.695242364E-1;3.274120390E-1
1.949462222E1;5.668477486E-1;3.274010108E-1
1.949876667E1;5.636362334E-1;3.273653862E-1
1.950293333E1;5.607364823E-1;3.273609953E-1
1.950710000E1;5.578574459E-1;3.273464195E-1
